brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
maruti,swift dzire,manual,4,petrol,1197,48000,,475000,,19,85.8,5,
maruti,alto,manual,8,petrol,796,68450,,245000,,22.74,47.3,5,
ford,ecosport,manual,7,diesel,1498,43000,,540000,,22.7,89.84,5,
ford,ecosport,automatic,5,petrol,1499,53000,,680000,,16.05,110.4,5,
ford,endeavour,automatic,2,diesel,3198,18000,,2725000,,10.91,197,7,
maruti,swift,manual,8,diesel,1248,26000,,365000,,28.4,74,5,
maruti,swift,manual,8,diesel,1248,51405,,345000,,28.4,74,5,
honda,city,manual,15,petrol,1497,50000,,300000,,17.7,78,5,
bmw,5,automatic,4,diesel,1995,18000,,3700000,,22.48,187.74,5,
maruti,ciaz,manual,4,diesel,1248,56000,,665000,,28.09,88.5,5,
audi,a4,automatic,9,diesel,1968,38000,,1175000,,15.2,140.8,5,
volkswagen,polo,manual,7,diesel,1498,80000,,325000,,20.14,88.8,5,
audi,a4,automatic,7,diesel,1968,60000,,1275000,,16.55,147.51,5,
maruti,vitara,manual,4,diesel,1248,70000,,700000,,24.3,88.5,5,
hyundai,grand,manual,4,petrol,1197,60000,,450000,,18.9,81.86,5,
maruti,wagon r,manual,4,cng,998,55271,,365000,,26.2,58.2,5,
mahindra,xuv500,automatic,2,diesel,2179,16000,,1500000,,15.1,152.87,7,
hyundai,grand,manual,6,diesel,1120,49000,,370000,,24,70,5,
maruti,swift,manual,8,diesel,1248,147000,,350000,,22.9,74,5,
maruti,ertiga,manual,5,diesel,1248,45700,,650000,,24.52,88.5,7,
renault,kwid,manual,5,petrol,799,12000,,275000,,25.17,53.3,5,
honda,city,manual,4,petrol,1497,42000,,880000,,17.4,117.6,5,
hyundai,grand,manual,7,petrol,1197,41000,,355000,,18.9,81.86,5,
honda,city,automatic,4,petrol,1497,45000,,990000,,18,117.3,5,
toyota,fortuner,manual,8,diesel,2982,52000,,1400000,,12.55,168.5,7,
skoda,rapid,manual,7,diesel,1598,62000,,345000,,20.5,103.5,5,
hyundai,santro,manual,10,petrol,1086,64000,,210000,,17.92,62.1,5,
hyundai,i10,manual,9,petrol,1197,65000,,235000,,20.36,78.9,5,
maruti,alto,manual,13,petrol,796,92000,,115000,,19.7,46.3,5,
volvo,s90,automatic,2,diesel,1969,25000,,4500000,,18,190,5,
maruti,vitara,manual,4,diesel,1248,62000,,650000,,24.3,88.5,5,
toyota,fortuner,automatic,2,diesel,2755,32000,,3300000,,12.9,174.5,7,
renault,duster,manual,7,diesel,1461,101895,,412000,,20.45,83.8,5,
maruti,dzire zxi,manual,6,petrol,1197,41021,,500000,,23.26,88.5,5,
toyota,innova,manual,5,diesel,2393,92000,,1300000,,13.68,147.8,7,
